"","MSACC","year","houseid","income","race","hispanic","reported","serious"
"2451",15,"1979",2,2,1,2,2,68
"2452",15,"1979",2,2,1,2,2,68
"2500",3,"1979",3,1,2,2,2,68
"2501",3,"1979",3,1,2,2,2,67
"2521",3,"1979",3,2,1,2,2,65
"2545",33,"1979",1,1,2,2,2,68
"2560",39,"1979",2,2,1,2,2,65
"2571",39,"1979",6,1,1,2,2,64
"2574",39,"1979",3,1,1,2,2,64
"2575",39,"1979",3,1,1,2,2,62
"2594",39,"1979",1,1,1,2,2,68
"2630",11,"1979",3,2,1,2,2,67
"2634",11,"1979",2,3,1,2,2,65
"2635",11,"1979",2,3,1,2,2,68
"2651",29,"1979",2,1,1,2,2,68
"2662",29,"1979",3,1,1,2,2,60
"2670",29,"1979",1,3,1,2,2,65
"2673",29,"1979",1,3,1,2,2,68
"2682",17,"1979",1,3,1,2,2,68
"2715",17,"1979",4,2,1,2,2,68
"2742",24,"1979",2,2,2,2,2,64
"2755",35,"1979",2,1,1,2,2,65
"2779",24,"1979",1,3,2,2,2,68
"2799",30,"1979",2,3,1,2,2,68
"2805",30,"1979",2,2,1,2,2,68
"2817",31,"1979",1,2,1,2,2,68
"2818",31,"1979",1,2,1,2,2,68
"2819",31,"1979",1,2,1,2,2,68
"2820",31,"1979",1,2,1,2,2,68
"2822",31,"1979",1,3,1,2,2,67
"2834",31,"1979",3,1,1,2,2,65
"2860",36,"1979",1,3,1,2,2,68
"2861",36,"1979",1,3,1,2,2,68
"2894",37,"1979",1,2,1,2,2,60
"2895",37,"1979",1,2,1,2,2,67
"2917",34,"1979",3,2,1,2,2,68
"2918",34,"1979",4,2,1,2,2,64
"2935",34,"1979",2,2,1,2,2,68
"2936",34,"1979",2,2,1,2,2,68
"2945",27,"1979",1,3,1,2,2,68
"2961",27,"1979",1,3,1,2,2,68
"2996",17,"1979",2,1,1,2,2,67
"3005",17,"1979",2,2,1,2,2,65
"3039",17,"1979",2,3,1,2,2,65
"3047",17,"1979",2,3,1,1,2,64
"3050",17,"1979",3,1,1,2,2,65
"3076",21,"1979",1,3,2,2,2,62
"3079",21,"1979",1,2,1,2,2,64
"3084",21,"1979",2,1,2,2,2,63
"3086",21,"1979",1,3,1,1,2,64
"3090",21,"1979",1,1,1,2,2,60
"3115",21,"1979",1,3,1,2,2,64
"3136",26,"1979",1,3,1,2,2,63
"3139",26,"1979",2,3,1,2,2,68
"3179",26,"1979",1,3,1,2,2,68
"3204",26,"1979",1,1,1,2,2,64
"3236",26,"1979",1,1,2,2,2,62
"3237",26,"1979",1,1,2,2,2,62
"3248",26,"1979",1,2,2,2,2,65
"3263",26,"1979",2,1,1,2,2,62
"3273",26,"1979",1,2,1,2,2,67
"3275",26,"1979",1,1,2,2,2,64
"3276",26,"1979",1,1,2,2,2,65
"3278",26,"1979",1,1,2,2,2,68
"3284",26,"1979",3,1,1,2,2,68
"3318",28,"1979",1,2,1,2,2,65
"3327",28,"1979",1,2,1,2,2,68
"3328",28,"1979",1,2,1,2,2,65
"3332",28,"1979",1,2,1,2,2,63
"3333",28,"1979",1,2,1,2,2,62
"3368",28,"1979",1,2,1,2,2,64
"3369",28,"1979",1,2,1,2,2,64
"3372",28,"1979",1,2,1,2,2,64
"3414",28,"1979",1,2,1,2,2,68
"3442",4,"1979",2,1,1,2,2,68
"3525",4,"1979",1,1,1,2,2,64
"3548",4,"1979",3,1,2,2,2,64
"3612",26,"1979",1,2,1,2,2,68
"3622",21,"1979",1,1,2,2,2,64
"3623",21,"1979",1,3,1,2,2,68
"3629",21,"1979",1,3,1,2,2,68
"3648",21,"1979",1,1,2,2,2,67
"3651",21,"1979",1,1,2,2,2,65
"3652",21,"1979",1,1,1,1,2,64
"3656",21,"1979",1,3,1,2,2,68
"3659",21,"1979",2,3,1,2,2,65
"3669",21,"1979",1,3,1,2,2,65
"3690",21,"1979",1,2,2,2,2,64
"3692",21,"1979",1,3,1,2,2,64
"3697",21,"1979",1,1,2,2,2,65
"3732",21,"1979",1,1,1,2,2,68
"3780",21,"1979",1,2,1,2,2,64
"3785",21,"1979",2,1,1,1,2,64
"3824",21,"1979",1,3,1,2,2,68
"3825",21,"1979",1,3,1,2,2,68
"3852",21,"1979",1,3,4,2,2,67
"3853",21,"1979",1,3,1,2,2,64
"3854",21,"1979",1,3,1,2,2,65
"3950",21,"1979",1,3,1,2,2,65
"4032",22,"1979",2,2,1,2,2,68
"4057",22,"1979",1,1,2,2,2,67
"4061",22,"1979",1,2,2,2,2,68
"4074",22,"1979",1,3,1,2,2,68
"4095",16,"1979",2,3,1,2,2,67
"4096",16,"1979",2,3,1,2,2,68
"4104",16,"1979",1,2,2,2,2,68
"4105",16,"1979",1,2,2,2,2,68
"4107",16,"1979",1,1,2,2,2,68
"4135",16,"1979",3,2,1,2,2,68
"4156",16,"1979",1,2,1,2,2,68
"4157",16,"1979",1,2,1,2,2,68
"4159",16,"1979",1,2,1,2,2,60
"4161",16,"1979",1,2,1,2,2,67
"4183",19,"1979",2,2,1,2,2,68
"4184",19,"1979",2,2,1,2,2,68
"4209",19,"1979",2,2,1,2,2,64
"4224",19,"1979",2,2,1,2,2,68
"4226",19,"1979",2,3,1,2,2,60
"4244",19,"1979",2,1,1,2,2,67
"4245",19,"1979",2,1,1,2,2,68
"4247",19,"1979",1,1,1,2,2,68
"4254",19,"1979",2,2,1,2,2,65
"4281",19,"1979",1,3,1,2,2,68
"4288",19,"1979",2,1,1,2,2,67
"4336",32,"1979",1,1,2,2,2,64
"4339",32,"1979",2,3,1,2,2,62
"4342",32,"1979",1,3,1,2,2,67
"4353",32,"1979",1,2,1,2,2,68
"4383",32,"1979",1,3,1,2,2,68
"4384",32,"1979",1,3,1,2,2,65
"4395",32,"1979",1,3,1,2,2,68
"4417",8,"1979",2,2,2,2,2,64
"4423",8,"1979",1,1,2,2,2,60
"4433",8,"1979",1,1,2,2,2,65
"4444",8,"1979",1,2,1,2,2,68
"4457",8,"1979",1,1,2,2,2,65
"4486",6,"1979",2,1,1,1,2,65
"4490",6,"1979",2,1,1,1,2,62
"4509",6,"1979",1,2,1,1,2,65
"4550",6,"1979",1,3,2,2,2,68
"4551",6,"1979",1,3,2,2,2,64
"4552",6,"1979",1,3,2,2,2,64
"4553",6,"1979",1,3,2,2,2,68
"4598",6,"1979",1,1,2,2,2,68
"4601",6,"1979",2,1,2,2,2,68
"4604",6,"1979",1,1,2,2,2,60
"4607",6,"1979",1,3,1,2,2,63
"4609",6,"1979",2,2,2,2,2,64
"4610",6,"1979",2,2,2,2,2,65
"4611",6,"1979",1,1,2,2,2,64
"4617",6,"1979",2,3,2,2,2,64
"4622",6,"1979",1,1,2,2,2,65
"4629",6,"1979",1,1,2,2,2,68
"4635",6,"1979",1,1,1,2,2,64
"4642",6,"1979",1,1,2,2,2,64
"4648",6,"1979",1,1,2,2,2,64
"4678",12,"1979",1,2,1,2,2,68
"4681",12,"1979",1,2,2,2,2,64
"4711",12,"1979",1,2,1,2,2,65
"4738",12,"1979",5,1,1,2,2,67
"4770",12,"1979",1,2,1,2,2,68
"4771",12,"1979",1,2,1,2,2,68
"4832",12,"1979",1,3,1,2,2,65
"4833",12,"1979",1,3,1,2,2,64
"4868",12,"1979",1,3,1,2,2,65
"4869",12,"1979",1,3,1,2,2,68
"4892",12,"1979",1,3,1,2,2,68
"4895",12,"1979",2,3,1,2,2,65
"4905",12,"1979",2,1,2,2,2,65
"4909",12,"1979",2,1,2,2,2,68
"4915",12,"1979",2,3,1,2,2,64
"4961",12,"1979",2,1,2,2,2,65
"4988",12,"1979",1,1,2,2,2,64
"5024",9,"1979",2,1,1,1,2,68
"5031",9,"1979",1,3,1,2,2,67
"5072",7,"1979",1,2,1,2,2,64
"5133",16,"1979",1,3,1,2,2,68
"5134",16,"1979",1,3,1,2,2,68
"5136",16,"1979",2,3,1,2,2,68
"5148",16,"1979",2,2,1,2,2,68
"5149",16,"1979",2,2,1,2,2,68
"5167",16,"1979",2,2,1,2,2,68
"5171",32,"1979",1,3,1,2,2,60
"5190",32,"1979",1,2,1,2,2,65
"5195",32,"1979",1,2,1,2,2,65
"5231",6,"1979",1,3,1,2,2,68
"5250",6,"1979",3,2,1,2,2,65
"5251",6,"1979",3,2,1,2,2,67
"5254",6,"1979",1,3,1,2,2,65
"5256",6,"1979",1,3,1,2,2,68
"5257",6,"1979",1,3,1,2,2,67
"5266",6,"1979",1,3,1,2,2,68
"5270",6,"1979",1,2,1,2,2,65
"5271",6,"1979",1,2,1,2,2,65
"5291",6,"1979",1,3,1,2,2,65
"5292",6,"1979",1,3,1,2,2,68
"5310",6,"1979",1,2,1,2,2,68
"5333",6,"1979",1,2,1,2,2,68
"5349",18,"1979",2,1,2,2,2,65
"5373",18,"1979",3,2,1,1,2,68
"5375",18,"1979",2,1,1,1,2,68
"5399",18,"1979",1,2,2,2,2,65
"5409",14,"1979",1,3,1,2,2,68
"5436",14,"1979",1,2,2,2,2,65
"5452",14,"1979",2,2,1,2,2,65
"5465",14,"1979",1,3,1,2,2,68
"5473",10,"1979",1,2,1,2,2,67
"5515",10,"1979",2,2,1,2,2,65
"5526",10,"1979",1,3,1,1,2,68
"5534",10,"1979",2,2,1,2,2,68
"5560",10,"1979",2,1,2,2,2,68
"5588",10,"1979",2,2,1,2,2,68
"5592",10,"1979",2,1,1,2,2,68
"5593",10,"1979",2,1,1,2,2,67
"5594",10,"1979",2,1,1,2,2,65
"5598",10,"1979",2,3,1,2,2,67
"5599",10,"1979",2,3,1,2,2,65
"5602",10,"1979",1,3,2,2,2,65
"5658",23,"1979",2,3,1,2,2,65
"5659",23,"1979",2,3,1,2,2,65
"5664",23,"1979",2,3,1,2,2,65
"5665",23,"1979",2,3,1,2,2,65
"5695",23,"1979",3,3,1,2,2,67
"5700",23,"1979",3,3,2,2,2,68
"5703",23,"1979",3,2,1,2,2,68
"5704",23,"1979",3,2,1,2,2,65
"5719",23,"1979",1,2,1,2,2,65
"5738",2,"1979",2,3,1,2,2,68
"5786",2,"1979",1,1,1,2,2,68
"5792",2,"1979",3,3,1,2,2,65
"5793",2,"1979",3,3,1,2,2,64
"5794",2,"1979",3,3,1,2,2,68
"5853",15,"1979",1,3,1,2,2,68
"5887",15,"1979",1,1,2,2,2,65
"5940",15,"1979",2,3,1,2,2,67
"5976",3,"1979",1,2,1,2,2,68
"6003",3,"1979",1,3,1,2,2,67
"6075",3,"1979",2,2,1,2,2,67
"6077",3,"1979",2,1,1,2,2,65
"6079",3,"1979",2,1,1,2,2,68
"6080",3,"1979",2,1,1,2,2,68
"6101",3,"1979",1,2,1,2,2,68
"6103",3,"1979",1,2,1,2,2,68
"6125",3,"1979",1,3,1,2,2,68
"6156",39,"1979",1,2,1,2,2,63
"6167",39,"1979",1,2,1,2,2,64
"6210",7,"1979",2,3,1,2,2,65
"6211",7,"1979",1,2,1,2,2,64
"6217",33,"1979",1,2,1,2,2,67
"6245",33,"1979",1,3,1,1,2,65
"6254",33,"1979",1,2,1,1,2,65
"6257",33,"1979",1,2,1,1,2,65
"6259",33,"1979",1,1,1,1,2,65
"6289",25,"1979",2,1,1,2,2,65
"6290",25,"1979",2,1,1,2,2,68
"6293",25,"1979",3,3,1,2,2,67
"6362",39,"1979",1,2,1,2,2,65
"6447",39,"1979",1,1,1,2,2,68
"6449",39,"1979",1,1,1,2,2,65
"6451",39,"1979",3,1,1,2,2,65
"6460",39,"1979",1,1,1,2,2,68
"6462",39,"1979",3,3,1,2,2,68
"6463",39,"1979",3,3,1,2,2,68
"6496",39,"1979",1,2,1,2,2,65
"6512",38,"1979",3,1,1,2,2,63
"6576",38,"1979",2,2,1,2,2,65
"6602",39,"1979",2,3,1,2,2,65
"6603",39,"1979",2,3,1,2,2,64
"6604",5,"1979",1,2,1,2,2,64
"6608",5,"1979",1,2,1,2,2,65
"6610",5,"1979",1,1,2,2,2,67
"6618",5,"1979",2,3,1,2,2,68
"6629",5,"1979",2,3,1,2,2,64
"6630",5,"1979",2,3,1,2,2,67
"6631",5,"1979",2,3,1,2,2,67
"6638",5,"1979",2,2,1,2,2,65
"6639",5,"1979",2,2,1,2,2,65
"6641",5,"1979",1,2,1,2,2,65
"6647",40,"1979",1,1,1,2,2,65
"6680",40,"1979",2,2,1,2,2,65
"6681",40,"1979",2,2,1,2,2,67
"6682",40,"1979",2,3,1,2,2,68
"6683",40,"1979",2,3,1,2,2,68
"6692",15,"1979",2,1,2,2,2,68
"6744",11,"1979",1,2,1,1,2,68
"6765",11,"1979",2,2,1,2,2,68
"6811",29,"1979",1,3,1,2,2,65
"6836",29,"1979",1,3,1,2,2,68
"6864",29,"1979",1,2,1,2,2,67
"6882",29,"1979",2,2,1,2,2,68
"6896",29,"1979",2,2,1,2,2,68
"6905",29,"1979",4,1,3,2,2,64
"6906",29,"1979",4,1,3,2,2,65
"6907",29,"1979",4,1,3,2,2,65
"6909",29,"1979",3,1,1,1,2,65
"6911",29,"1979",1,3,1,2,2,65
"6927",17,"1979",1,1,1,2,2,60
"6986",17,"1979",1,1,2,2,2,65
"7003",17,"1979",1,1,1,2,2,63
"7009",17,"1979",1,1,1,2,2,64
"7032",17,"1979",1,3,1,2,2,68
"7046",17,"1979",1,2,1,2,2,68
"7054",17,"1979",1,2,2,2,2,60
"7090",17,"1979",2,1,1,1,2,62
"7091",17,"1979",2,1,1,1,2,65
"7094",17,"1979",2,1,1,1,2,65
"7096",17,"1979",1,2,1,1,2,65
"7115",17,"1979",2,3,1,2,2,65
"7136",24,"1979",1,2,1,2,2,67
"7138",35,"1979",2,1,1,2,2,64
"7153",24,"1979",2,2,1,2,2,67
"7159",24,"1979",1,3,1,2,2,68
"7163",35,"1979",1,1,1,2,2,65
"7181",24,"1979",2,3,1,2,2,68
"7211",24,"1979",1,1,1,2,2,60
"7215",24,"1979",1,3,1,2,2,68
"7219",24,"1979",1,3,1,2,2,65
"7220",24,"1979",1,3,1,2,2,68
"7236",35,"1979",1,1,2,2,2,62
"7237",35,"1979",1,1,2,2,2,68
"7239",35,"1979",3,1,1,2,2,62
"7249",24,"1979",2,2,4,2,2,60
"7265",24,"1979",1,2,2,2,2,67
"7271",24,"1979",2,3,1,2,2,68
"7286",24,"1979",1,2,1,2,2,68
"7310",24,"1979",1,2,1,2,2,65
"7360",24,"1979",3,2,1,2,2,68
"7377",35,"1979",1,2,1,1,2,65
"7378",35,"1979",1,2,1,1,2,68
"7379",35,"1979",1,2,1,1,2,68
"7380",35,"1979",1,3,1,2,2,68
"7392",35,"1979",1,3,1,2,2,68
"7421",30,"1979",1,3,1,1,2,68
"7474",30,"1979",2,1,1,2,2,63
"7478",30,"1979",4,1,1,2,2,65
"7514",30,"1979",1,3,1,1,2,68
"7525",30,"1979",3,1,1,2,2,65
"7530",30,"1979",3,1,1,2,2,65
"7538",31,"1979",2,2,1,2,2,65
"7583",31,"1979",3,1,1,2,2,65
"7617",31,"1979",1,3,1,2,2,68
"7629",31,"1979",3,3,1,2,2,68
"7651",31,"1979",3,2,1,2,2,68
"7709",36,"1979",2,3,4,2,2,65
"7743",36,"1979",1,3,3,2,2,64
"7748",36,"1979",1,2,1,2,2,62
"7749",36,"1979",1,2,1,2,2,68
"7775",36,"1979",4,2,1,2,2,68
"7778",36,"1979",4,2,1,2,2,68
"7806",37,"1979",1,3,1,2,2,60
"7835",37,"1979",1,3,1,2,2,68
"7850",37,"1979",1,3,1,2,2,68
"7851",37,"1979",1,3,1,2,2,68
"7886",37,"1979",1,2,1,2,2,65
"7914",34,"1979",1,2,1,2,2,68
"7945",34,"1979",2,2,1,2,2,65
"7953",34,"1979",2,1,1,1,2,60
"7980",34,"1979",2,3,1,2,2,65
"8016",34,"1979",1,3,1,2,2,68
"8022",34,"1979",2,1,1,2,2,68
"8070",34,"1979",1,2,2,2,2,63
"8074",34,"1979",2,2,1,1,2,67
"8089",34,"1979",1,3,1,1,2,68
"8102",34,"1979",2,1,1,2,2,65
"8104",34,"1979",1,3,1,2,2,65
"8197",27,"1979",1,2,1,2,2,68
"8216",1,"1979",1,3,1,2,2,68
"8217",1,"1979",1,3,1,2,2,67
"8281",1,"1979",1,3,1,2,2,65
"8299",1,"1979",2,3,1,2,2,67
"8308",1,"1979",2,1,1,2,2,67
"8315",1,"1979",2,2,1,2,2,65
"8316",1,"1979",2,2,1,2,2,65
"8340",1,"1979",1,3,1,2,2,65
"8375",1,"1979",3,2,1,2,2,65
"8385",1,"1979",4,3,1,2,2,68
"8389",1,"1979",3,2,2,2,2,65
"8390",1,"1979",3,2,2,2,2,65
"8439",17,"1979",1,2,1,2,2,68
"8453",17,"1979",1,3,1,2,2,68
"8471",17,"1979",2,2,1,1,2,65
"8475",17,"1979",1,3,1,2,2,67
"8535",17,"1979",1,3,1,2,2,67
"8559",17,"1979",1,3,1,1,2,68
"8579",17,"1979",4,1,1,2,2,67
"8581",17,"1979",2,2,1,1,2,68
"8585",17,"1979",1,3,1,2,2,68
"8629",17,"1979",2,3,1,2,2,68
"8635",17,"1979",1,3,1,2,2,68
"8670",17,"1979",1,2,1,2,2,65
"8735",21,"1979",2,2,1,2,2,64
"8752",21,"1979",1,2,2,2,2,68
"8778",21,"1979",1,1,4,2,2,68
"8806",26,"1979",1,3,1,2,2,68
"8825",26,"1979",1,1,1,2,2,64
"8827",26,"1979",1,3,2,2,2,68
"8833",26,"1979",1,3,1,2,2,68
"8836",26,"1979",1,2,1,2,2,68
"8843",26,"1979",1,2,2,2,2,64
"8844",26,"1979",1,2,2,2,2,68
"8845",26,"1979",1,1,2,2,2,68
"8849",26,"1979",1,2,2,2,2,60
"8850",26,"1979",1,2,2,2,2,65
"8863",26,"1979",3,2,1,2,2,68
"8913",28,"1979",1,2,1,2,2,65
"8917",28,"1979",1,2,1,2,2,68
"8918",28,"1979",1,2,1,2,2,68
"8923",28,"1979",2,1,1,2,2,60
"8931",28,"1979",1,2,1,2,2,64
"8939",28,"1979",2,3,1,2,2,63
"8940",28,"1979",2,3,1,2,2,65
"8941",28,"1979",2,3,1,2,2,64
"8965",28,"1979",1,1,1,2,2,65
"8988",4,"1979",1,3,1,2,2,60
"8994",4,"1979",1,3,1,2,2,65
"8999",4,"1979",2,1,1,2,2,65
"9012",4,"1979",2,3,1,2,2,67
"9015",4,"1979",1,1,1,2,2,60
"9022",4,"1979",1,3,1,2,2,65
"9041",4,"1979",2,3,4,2,2,65
"9084",4,"1979",1,1,1,2,2,68
"9120",4,"1979",1,3,1,2,2,65
"9159",21,"1979",1,1,1,2,2,68
"9167",21,"1979",1,2,1,2,2,68
"9203",21,"1979",1,2,2,2,2,67
"9204",21,"1979",1,2,2,2,2,65
"9205",21,"1979",1,2,2,2,2,68
"9223",21,"1979",1,1,1,1,2,64
"9241",21,"1979",2,3,2,2,2,64
"9283",21,"1979",1,3,1,1,2,65
"9308",21,"1979",1,3,2,2,2,68
"9345",20,"1979",1,3,1,2,2,68
"9367",20,"1979",1,2,1,2,2,67
"9391",20,"1979",1,1,1,2,2,60
"9405",20,"1979",4,2,1,1,2,63
"9419",22,"1979",1,3,1,2,2,68
"9446",22,"1979",1,3,1,2,2,64
"9455",22,"1979",1,1,2,2,2,64
"9475",16,"1979",1,2,1,2,2,68
"9521",19,"1979",3,2,1,2,2,62
"9653",32,"1979",1,3,1,2,2,68
"9664",32,"1979",1,3,1,2,2,65
"9665",32,"1979",1,3,1,2,2,68
"9672",32,"1979",1,2,1,2,2,68
"9686",32,"1979",1,3,1,2,2,68
"9707",8,"1979",1,2,1,2,2,68
"9778",6,"1979",2,2,2,2,2,60
"9780",6,"1979",1,3,1,2,2,68
"9798",6,"1979",1,1,1,2,2,68
"9803",6,"1979",2,2,2,2,2,65
"9817",6,"1979",2,2,1,2,2,65
"9818",6,"1979",2,2,1,2,2,68
"9830",6,"1979",1,3,1,1,2,64
"9831",6,"1979",1,3,1,1,2,63
"9842",6,"1979",1,3,2,2,2,64
"9908",12,"1979",1,1,2,2,2,68
"9911",12,"1979",1,3,1,2,2,68
"9912",12,"1979",1,3,1,2,2,65
"9915",12,"1979",1,2,1,2,2,60
"9916",12,"1979",1,1,2,2,2,65
"9923",12,"1979",1,1,1,2,2,67
"9948",12,"1979",1,1,1,2,2,65
"9950",12,"1979",1,3,1,2,2,68
"9956",12,"1979",2,3,1,2,2,68
"9999",12,"1979",1,3,1,2,2,68
"10040",12,"1979",1,3,1,1,2,68
"10041",12,"1979",1,3,1,1,2,68
"10067",12,"1979",2,3,1,2,2,68
"10081",12,"1979",1,1,2,2,2,64
"10086",12,"1979",1,1,2,2,2,63
"10110",9,"1979",1,2,1,2,2,65
"10119",9,"1979",1,3,1,2,2,65
"10120",9,"1979",1,3,1,2,2,65
"10156",9,"1979",2,3,1,2,2,65
"10269",6,"1979",1,2,1,2,2,68
"10328",6,"1979",2,1,1,2,2,67
"10376",18,"1979",2,3,1,2,2,68
"10377",18,"1979",2,3,1,2,2,68
"10410",18,"1979",1,2,1,2,2,65
"10509",10,"1979",1,1,2,2,2,65
"10527",10,"1979",1,1,2,2,2,67
"10541",10,"1979",1,1,1,2,2,62
"10586",23,"1979",1,2,2,2,2,65
"10651",2,"1979",1,3,1,2,2,67
"10652",2,"1979",1,3,1,2,2,68
"10697",2,"1979",2,2,2,2,2,62
"10711",15,"1979",1,3,1,1,2,65
"10719",15,"1979",1,3,1,2,2,68
"10720",15,"1979",1,3,1,2,2,68
"10725",15,"1979",2,2,1,2,2,68
"10744",15,"1979",4,1,1,2,2,65
"10768",15,"1979",4,1,1,2,2,68
"10769",15,"1979",1,2,1,2,2,65
"10772",15,"1979",3,2,1,2,2,62
"10775",15,"1979",3,2,1,2,2,60
"10789",15,"1979",1,1,2,2,2,64
