"","summary","date","country"
"18","Voters in dozens of states face total of 203 initiatives and referendums on Nov 5, including proposals to expand after-school programs in California, abolish bilingual education in Massachusetts, decriminalize Nevadans' personal use of marijuana and set new guidelines for confinement of pregnant pigs in Florida; Oregon has two of most closely watch and intensely fought ballot initiatives, one to provide comprehensive health care for all residents, financed by new income and payroll tax, and one to require labels identifying genetically engeered foods sold in state (M)",2002,FALSE
"19","Egyptian satellite television channel will broadcast series that incorporates ideas from document that has been pillar of anti-Semitic hatred for century, infamous czarist forgery 'The Protocols of the Elders of Zion'; document appears to be gaining new foothold in part of Arab world; series, Horse Without a Horseman, traces history of Middle East from 1855 to 1917 through eyes of Egyptian who fought British occupiers and Zionist movement; episodes will be shown nightly through Islamic holy month of Ramadan, guaranteeing maximum viewership; potential audience numbers in tens of millions; 'Protocols,' which purports to depict Jewish leaders plotting world dominion, has long been recognized as fabrication by czarist secret police; still, show's backers say they are keeping open mind about its authenticity; Abraham Foxman of Anti-Defamation League of B'nai B'rith says anti-Semitic writings and images are on rise in Arab world (M)",2002,FALSE
"20","India-Pakistan standoff over Kashmir has been economic boon to Srinagar; although many have died in 13 years of conflict, much money has been made; in some cases that is despite conflict; in other cases it is because of it; although traditonal tourism has vanished, there is much money to be made in co-called 'olive tourism,' reference to hundreds of thousands of members of Indian security forces stationed in state, who spend their petty cash in Srinagar; photos (M)",2002,FALSE
"22","Organized labor mounts all-out effort to unionize employees of Wal-Mart, which has become nation's biggest company, employing more than one million workers, not one of them a union member; unions have had only one organizing success to date, butcher's department in Texas store that was disbanded two weeks later; United Food and Commercial Workers Union is pushing campaign at nearly 100 stores in 20 states, hiring disaffected managers as organizers and creating radio show and Web site lambasting Wal-Mart working conditions; photos; NLRB has filed more than 40 complaints against company in last four years, charging illegal firings and intimidation; company says it fends off unions by keeping workers happy and paying competitive wages (M)",2002,FALSE
"23","Martha Stevenson Olson Practical Traveler column offers suggestions to keep homes safe from burglars and free of plumbing accidents while on vacation; drawing (M)",2002,FALSE
"24","Pres Bush announces that federal government would take on larger role in airport security and that more than 4,000 National Guard troops would begin protecting nation's 420 commercial airports within days; says troops will be stationed at airport metal detectors and machines screening carry-on luggage; use of National Guard troops will be temporary measure until federal government establishes what Bush administration official describes as new agency to oversee all domestic airport security; says new approach would give government more control over training, performance standards, wages and benefits; Bush says he will give grants to airlines to allow them to develop stronger cockpit doors and transponders that cannot be switched off from cockpit; there will also be government grants available to pay for video monitors in cockpit to alert pilots to trouble in cabin; new technology, probably far in future, would allow air traffic controllers to land distressed planes by remote control; photo (M)",2001,FALSE
"25","Mayor Michael R Bloomberg's success in winning control of New York City's public schools and promise to take blame for any failures going forward should help end finger-pointing that has long poisoned relations between City Hall, Board of Education, teachers, principles and superintendents, and he clearly hopes that this will free up prodigious amounts of energy, intelligence and talent that can be trained on problems in classroom; photos (M)",2002,FALSE
"28","Profile of Morristown, historic New Jersey town that is beginning to look more like a city; Hispanic population has more than doubled in past decade, to 5,000 out of 19,000 residents; Mayor Jay DeLaney has appointed advisor for Latino affairs, schools have added Spanish language courses but some friction has arisen over overcrowding, redevelopment and politics; photos (L)",2002,FALSE
"30","Col Carson Dunbar, head of New Jersey state police, institutes policy effective by mid-September to end improper instances of consent searches; troopers will be required to get sergeant's approval prior to conducting searches (M)",2001,FALSE
"32","Some experts warn airport security system designed to reassure people can actually enhance fear; note obvious precautions tend to make people feel place is unsafe; at issue is whether security can be increased in way that is beneficial without increasing fear levels that deter people from traveling; some experts suggest invisible wall of security that includes heavy reliance on surveillance cameras and undercover guards; others say visible measures might act as deterrent; photo (M)",2002,FALSE
"35","Caryn James Critic's Notebook column on television programming plans for anniversary of Sept 11 terrorist attacks (M)",2002,FALSE
"36","Deputy Defense Sec Paul D Wolfowitz arrives, Tabiawan, Philippines, to assess plans for American troops to extend counterterrorism training mission with Philippine military and to become more involved in searching for Gracia and Martin Burnham, Americans held by militant Muslim group Abu Sayyaf; meets with American and Philippine commanders and community leaders on Basilan Island; maps; photo (M)",2002,FALSE
"37","Article on US Coast Guard's responsibility for waters from Delaware Bay to Connecticut as summer recreational boating season gets underway; Coast Guard, whose focus has been on homeland security since September 11 terrorist attacks, finds itself stretched thin in other areas such as fisheries enforcement in northeast and migrant interdiction in south; photos (L)",2002,FALSE
"38","Cornell Lewis, pastor of North Haven, Conn, Northend Church of Christ, is trying to quash drug traffic by training video camera on spot where dealers meet customers; action has brought death threats and dealers watch carefully as Lewis travels through neighborhood; photo (M)",2002,FALSE
"40","Article, in light of upcoming Memorial Day weekend and start of summer boating season, on work of US Coast Guard in guarding waters from terrorist attack; Vice Admiral James D Hull notes Coast Guard's missions have changed and manpower and equipment are spread thin; photos (M)",2002,FALSE
"41","Outrage and regret in racially divided Cincinnati still focus on killing of an unarmed black teenager by white police officers on April 7 and street violence that followed, even though unrest has other causes, namely, long-frustrated demands of black residents for share of city's prosperity; black and white leaders and business executives describe division of wealth as secondary cause of rioting, or, at very least, tense background music to life in greater Cincinnati; efforts of officials to win contracts for black-owned companies, especially in construction industry, discussed; photos (M)",2001,FALSE
"46","Jailed sex offender Lewis E Jones is charged in string of summertime burglaries and assaults against three female Rutgers University students (M)",2001,FALSE
"51","James E McGreevey is sworn in as New Jersey governor; calls for unity in face of budget problems; photo (M)",2002,FALSE
"53","United States and Philippines, in first major expansion of war on terrorism, prepare joint operations against Abu Sayyaf, Muslim extremist group in southern Philippines linked to Al Qaeda; US plans to send over 600 troops, including 160 Special Operations forces trained in counterterrorism, to Mindanao to train and advise 1,200 Philippine Army soldiers in how to destroy group, which is holding hostages; US forces will accompany patrols in rebel areas, authorized to fire only in self-defense; Sec Donald H Rumsfeld outlines plan (M)",2002,FALSE
"54","Mayor Rudolph Giuliani welcomes 307 New York City Fire Department recruits with warm words about trying to replace 343 firemen lost in World Trade Center attack; photo (S)",2001,FALSE
"55","Matthew Wald travel article on switch that is about to take place at airports nationwide from private security screeners to US Transportation Department's Transportation Security Administration; new agency will employ more than 31,000 workers at more than 400 locations nationwide in effort to improve security in wake of September 11 terrorist attacks; photos (L)",2002,FALSE
"56","Pres Bush proposal to increase airport security by enlisting National Guard is reassuring to travelers; state officials embrace plan, with some governors immediately deploying members of Guard to airports (M)",2001,FALSE
"57","Nine candidates seeking to unseat Miami Mayor Joe Carollo are pledging not to further embarrass city weary of colorful episodes and scandals; among them are several high-profile politicians, including Xavier Suarez, whose 1998 election victory over Carollo was overturned by court that found widespread voting fraud; another candidate is Jose Garcia-Pedrosa, former city attorney and city manager whom Carollo fired; third is Manny Diaz, who represented Miami relatives of Elian Gonzalez in custody battle (M)",2001,FALSE
"58","Mayor Rudolph W Giuliani, who leaves behind city transformed, concedes his legacy is not yet secure; so blurred has man become with office that it may take while to remember who owns what; on Sept 11, mayor whose signal achievement had been to reduce crime in his city witnessed worst crime ever committed on American soil: terrorist attack on World Trade Center that killed almost 3,000 people; overview of Giuliani's tenure, both before and after Sept 11; chronology of major events; photos (L)",2001,FALSE
"59","Winter Olympics are marked by riveting sport, satisfaction over smooth logistical success amid unprecedented security and anti-American backlash abroad against perceived North American bias; Americans relish their mastery of new-age sports that attract large, younger television audience; decision that gave Canadian figure skaters David Pelletier and Jamie Sale duplicate gold medal in pairs competion apparently opened door for aggrieved national federations to protest any ruling they deemed unjust, leading to boycott threats by Russians and South Koreans; table compares 1992 and 2002 Games; photos (L)",2002,FALSE
"62","Gov Gray Davis's announcement of warning about possible terrorist attack in California draws intense debate that overshadows meeting on economy and underscores complex problems he faces as he prepares to seek re-election; photo; FBI has expressed surprise and annoyance that Davis passed on 'uncorroborated' threat that bureau did not intend to be made public; governor defends decision (M)",2001,FALSE
"63","Jennifer Egan article on plight of New York City's homeless children, biggest component of city's skyrocketing homeless population; focuses on Jackie Fuller and her two children; notes that average of 32,000 people sleep in city shelters each night, up by 23 precent from year ago; photos (L)",2002,FALSE
"65","Article discusses how most New Yorkers, especially those who live in Manhattan, are becoming increasingly concerned about noise as residential growth and boom-time construction has brought new noises to city; experts say that noise can harm people's health, increase their stress levels and compromise children's ability to learn; graph (M)",2001,FALSE
"67","Article reviews game New York Yankees Roger Clemens pitched against Chicago White Sox to achieve 20th victory of season; photo (M)",2001,FALSE
"68","Giants Stadium prepares for extra security before upcoming football weekend, first home games there since terrorist attacks on America; other stadiums' plans discussed; photo (M)",2001,FALSE
"70","Two competing calypso festivals are held as part of West Indian American Labor Day weekend carnival; Panorama is held in Park Slope section of Brooklyn, and breakaway festival is in East New York; photo (M)",2001,FALSE
"71","Businesses across country are trying not only to make their employees and offices safe but also reassure people, perhaps hardest job of all; they are often turning to outside security firms and consultants to identify which measures they need right away and what changes should be made permanently; most common advice is to examine current security and then to spend more on equipment and on people with better training; security companies are blossoming with employers spending more; stocks of companies providing equipment or guards have risen sharply since terrorist attacks; photo (M)",2001,FALSE
"73","Some drug abuse experts believe people who ignore warnings about illicit drugs should be taught to use them in least dangerous way possible; currently focus on use of drug Ecstasy at all-night dance parties; volunteer group DanceSafe urges club owners to provide cold drinking water, adequate ventilation and separate chill-out room to ease drug's adverse effects; screens Ecstasy used at clubs for content and purity; photo (M)",2001,FALSE
"74","Police, school and other New York City officials, attending hearing before New York City Council Education Committee, express near-unanimous support for proposed law that would make it crime for school officials to fail to report sexual offense or other criminal act to police; photo (M)",2001,FALSE
"75","Mayoral hopefuls take campaigns to schools on opening day of school; Alan Hevesi and Peter Vallone take turns appearing with United Federation of Teachers president Randi Weingarten, who praises them both; Vallone says he has enough votes on City Council to override mayoral veto on budget restoration; photo (M)",2001,FALSE
"76","United States and Mexico announce several steps to improve safety along California border, including pilot program to arm Border Patrol agents in San Dietgo with nonlethal weapons that fire marble-size pepper pellets to disperse crowds (S)",2001,FALSE
"77","Article discusses how voters in Canarsie section of Brooklyn see upcoming New York City mayoral election; majority expresses concern over candidates focus on better schools; maintains that major problem in city's schools is overcrowding; photo; map (M)",2001,FALSE
"78","World's governments express solidarity with US as democracy under attack; European Union and NATO officials will meet to discuss common approach to battle against terrorism; European officials quietly discuss how to assist US if it engages in military action in retaliation; Pres Vladimir Putin of Russia expresses support for retaliation; comments by other European leaders noted (M)",2001,FALSE
"79","Most new school buildings are making concessions to community to get funded in era of booming school construction; seek to bring life of community into building itself; many offer expanded facilities like libraries and performing-arts centers with eye to extracurricular patrons; table of trends in school design; photos; diagram (special section, Education Life) (M)",2001,FALSE
"81","Article theorizes about value of voting blocs, and whether they even exist in New York City's landscape of ever-changing demographics where whites comprise less than half of all voting age citizens; turnout is key in city where enthusiasm for local politics is dampened by lack of trust in politicians (M)",2001,FALSE
"82","Article on change in attitude toward loss of pets; pet bereavement has become serious business, with support groups and grief counselors dedicated to helping ease loss, self-help videos, commemorative Web sites, custom-built coffins, urns and even mausoleums built to house pets and their owners; photos (M)",2001,FALSE
"83","Judith Lynne Hanna comments on legal and cultural issues in de3",2001,FALSE
"84","Concerns that vast, multi-ethnic nation of Indonesia could fragment into hostile portions discussed; photo (M)",2001,FALSE
"85","New Jersey municipalities that hired new police officers with help of six-year federal grants are looking for ways to pay for them now that grants have expired; photo; keeping new officers has accounted for bulk of 3 percent tax increase proposed by Mayor Sharpe James in Newark (M)",2000,FALSE
"87","Five aspirants for Democratic nomination for mayor of New York City hold televised debate; photo; Mark Green and Alan G Hevesi tangle over each other's ethics and credentials, while Fernando Ferrer points out there are issues like housing and schools to discuss, and Peter Vallone presents himself as staid, mature choice to succeed Rudolph Giuliani; fifth aspirant is George N Spitz; Green, surprising even opponents, attacks Comptroller Hevesi for helping out contributor, distances himself from Ferrer and Vallone and derides Democrats who bicker instead of arguing with Giuliani, as Hevesi has done; Hevesi calls Green unqualified and mocks 'small ideas'; other exchanges quoted (M)",2001,FALSE
"88","Frank Bruni article on efforts by Sens Hillary Clinton and Charles Schumer to persuade Congress to provide $20 billion in aid to New York City to help rebuild downtown Manhattan after Sept 11 terrorist attacks; effort entails not just working with Bush administration and Congressional Republicans with whom they have tangled but also getting their own competitive natures to work together; photo (L)",2001,FALSE
"89","Organizers say revelers at West Indian American Carnival Parade in Brooklyn will accept, although grudingly, ban on alcohol at their festivities; Police Department will increase its presence at parade; map (M)",2000,FALSE
"90","Emergency all-party talks among Northern Ireland's fractious politicians fail amid growing view that Irish Republican Army must take some action on disarmament to salvage power-sharing government; breakdown follows two nights of rioting between Protestants and Catholics; Sinn Fein, IRA's political wing, reiterates its defiance despite remarkable calls for disarmament from ranking Catholic leaders and Irish newspapers that have never before singled out IRA or Sinn Fein for blame; photo (M)6",2001,FALSE
"91","Article describes work day of Warren Plum, United Parcel Service driver in Spring Lake, NJ, where he is local institution; photo (M)",2001,FALSE
"92","Brief profiles of some of those who lost their lives in Sept 11 terrorist attack on World Trade Center; photos (L)",2001,FALSE
"93","Federal government's statistics on unemployment may give distorted picture of true labor market because government does not count as unemployed people who would like to work but who have given up trying to find job; were these people counted, unemployment rate would double; preference for rosier data sums up conflicting attitude that United States, and virtually all free-market socities, hold toward joblessness; photo (M)",2001,FALSE
"97","Latest New York Times/CBS News Poll finds that Mayor Rudolph W Giuliani's response to shooting of Patrick M Dorismond has resulted in his lowest job approval ratings in seven years in office, jolting his campaign for United States Senate while catapulting Hillary Rodham Clinton into the lead for first time in a year; poll finds that Giuliani's attempt to discredit Dorismond after he was shot by New York City police officer has raised concerns about Giuliani's temperament and qualifications, while voters' perceptions of Cinton have improved; she now enjoys 49 percent to 41 percent lead over Giuliani; when undecided voters are pressed to state their leaning, Clinton moves a full 10 points ahead of Giuliani, 52 percent to 42 percent; strikingly, Giuliani is now tied with Clinton upstate, where he is drawing just 44 percent; tables, graphs illustrate poll findings (L)",2000,FALSE
"98","Impact of information technology revolution on China assessed; stresses on political status quo come from China's fast-multiplying channels of information: newspapers, telephones, television and the Internet; photos (L)",2001,FALSE
"99","Port Chester, NY, is glaring example of fact that Hispanics, while increasingly influential in numbers, are practically invisible in many areas of public and political life, particularly in Northeast; 2000 census shows that Port Chester is only Westchester community with plurality of Hispanic residents; village officials, who are all white, rarely cite as top priorities matters of great concern to Hispanic constituents: village's lack of low-income housing and health care for poor; many white residents of Port Chester echo sentiment of new mayor, Gerald L Logan, who says Port Chester needs to accommodate, but not pampr, its newest immigrants; photos; map, chart (M)",2001,FALSE
"100","Law enforcement authorities in Paterson, New Jersey, ask teachers to watch for illegal gang activity in schools; photo; some community leaders and civil libertarians fear educators are being asked to act as police officers (S)",2000,FALSE
"103","Police Comr Howard Safir reassures anxious neighborhood leaders in Harlem that there would be substantially reduced police presence at this year's Million Youth March; his pledge marks retreat from city's hard-edged stance toward organizers of rally, particularly Khallid Abdul Muhammad, whom Mayor Rudolph W Giuliani has accused of fomenting bigotry and violence by disparaging Jews and whites; neighborhood leaders have condemned rally as handiwork of anti-Semitic 'outsiders,' but they also voiced fear that police would repeat what they saw as heavy-handed and insulting enforcement at last year's rally; that enforcement included squads of officers in riot gear, others on horse and in helicopters, and hundreds of barricades that severely restricted demonstrators' freedom to move; Councilman Bill Perkins, who says he was assaulted by rally organizers after urging residents to boycott event, calls for 'community-friendly policing' in which residents are not treated as hostile enemy; photo (M)",1999,FALSE
"104","Newsday, more than five years after closing New York Newsday, to once again venture into New York City competition; editors of Long Island newspaper say they plan to concentrate on coverage of Queens as well as New York City politics and its preoccupations; photo (M)",2001,FALSE
"105","Outcry over slayings of livery-cab drivers prompts new steps to combat attacks as Police Department fleshes out its plans to protect drivers and Mayor Rudolph Giuliani proposes further steps to safeguard them; seven livery drivers have been killed so far this year; police say that slaying of Jimmy Chan, found shot to death in Chinatown in Lincoln Town Car, was linked to gambling and not considered to be related to other livery slayings; photo (M)",2000,FALSE
"107","Coca-Cola Co has returned to Angola 26 years after civil war forced it to leave, and it has alreay invested more than $40 million in country, a big some by African standards; Coke's experience shows that single large investment often has only modest benefits in country like Angola, and challenges facing Coke show how hard it will be to persuade other investors that risk is worthwhile; photos; map; table (L)",2001,FALSE
"109","James Traub article on approaching end to reign of Rudolph Giuliani, mayor who, in words of black leader Calvin Butts, brought 'order, peace, the law' to New York; photos; says it could be argued that New Yorkers have made their peace with bourgeois values mayor is always preaching about, swapping primal energies for prosperity and peace, but it must also be remembered that raffish Times Square had long since degenerated into mean and menacing precinct; recalls that Giuliani exposed inadequacy of compassion as policy, which discomfited white liberals, shielded as they were from city's grimmer realities; says that what really did in old order was exhausting, frightening sequence of public dramas, riots and rampages of David Dinkins years in early 90's; Giuliani, with advantage of being completely unambiguous, brought firm belief that public has collective right to safe and orderly public space which trumps individual rights of panhandlers and others who act out in that space; adds that Giuliani has had luck to govern during giddy boom, when Manhattan never looked better, and speculates about his legacy (M)",2001,FALSE
"111","Article on new Long Island Rail Road president Kenneth J Bauer, whose plan to focus on customer comfort has been usurped by safety problems such as fires on new locomotives, report that East River rail tunnels are little better than firetraps and rising crime on trains, platforms and in parking lots; photos (M)",2001,FALSE
"113","Adam Nagourney profiles Rev Al Sharpton, ambitious black political leader who has managed to endure, more than 13 years afer he embraced cause of Tawana Brawley, case that made him at once indelibly famous and, in many circles, politically toxic; comments on Sharpton's relentless campaign for redemption and his tireless handling of media; photos (L)",2001,FALSE
"114","Ted Conover profile of Kadiatou Diallo, mother of Amadou Diallo, unarmed African immigrant killed in a hail of police gunfire in Bronx in February 1999; discusses her falling out with Rev Al Sharpton, her temporary rift with Amadou's father and her ex-husband, Saikou Diallo, over control of his estate, and her decision to fire Johnnie Cochran and other 'dream team' lawyers and hire Robert Conason, a white, noncelebrity lawyer, to pursue her claims against city; photos (L)",2000,FALSE
"116","Mexico's largest baking company, Grupo Bimbo, succeeds by lavishing attention for past 55 years on smallest retailers in nearly every hamlet and nook of the country; photo; graph (M)",2000,FALSE
"117","Concern in Farmingville, NY, about day laborers, most of them Mexicans, who gather daily at busy intersection for work and live in overcrowded conditions and about Sept attack on two laborers spurs plans for opposing rallies by anti-immigration group, Centereach, and by Suffolk County Human Rights Commission and other groups, Hauppauge (M)",2000,FALSE
"118","Mobile billboards are issue in cities, such as New York and San Francisco, with excessive traffic congestion; costing much less than fixed billboards, dot-com companies, looking for cheaper advertising, adopted mobile billboards as new and offbeat; Citystreets, pro-pedestrian group, opposes advertising trucks for adding to traffic and pollution; litigation on summons issued to Target Advertising for operating during morning rush in New York is pending; lawyers for Target argue that government, by issuing summons, is limiting commercial organization's free speech; photo (M)",2000,FALSE
"121","British government says it will urgently press for stricter laws on child molesting but resists widespread calls for public identification of released violators, who have been associated with current vigilante attacks nationwide (M)",2000,FALSE
"122","Security preparations begin for John Rocker's visit to Shea Stadium next week (M)",2000,FALSE
"123","United Federation of Teachers report finds that assaults against teachers in New York City schools rose by 14.9 percent, to 1,049, in 1998-99 school year; overall, reports of violence against federation's 100,000 members decreased by 19.5 percent, first year in which Police Dept oversaw school security (M)",1999,FALSE
"125","Article on showdown between Robert F Kennedy Jr, chief prosecuting attorney for Hudosn Riverkeeper, and organization's founder and president Robert H Boyle, which resulted in resignations of Boyle and seven other board members; describes impact on organization; photos (M)",2000,FALSE
"126","New York City tenants and landlords square off all day and well into night at Rent Guidelines Board's annual hearing; photo of Public Advocate Mark Green; board has proposed largest rent increases in four years (M)",2000,FALSE
"127","Article on resurgence of gang tensions in Uniondale area of Long Island, NY; Nassau County Police Department has begun anti-gang program aimed at derailing gang-related violence; photo (M)",2000,FALSE
"128","New York City Police Department took control of security in city's schools on schedule on Dec 20; many of 3,200 school safety officers who used to report to Board of Education say they are unhappy with change in their supervision, complaining that while their responsibilities are changing significantly, their status and pay are not; they will be called safety agents, not officers, to avoid confusion with police officers, and will not have guns or badges (M)",1999,FALSE
"130","Article on controversy between Republic Airport in East Farmingdale, Long Island, and residents over draft proposals to widen runways; opponents say action would turn airport into much busier commercial jetport; engineers cite safety and attempt to reduce noise; photos; maps (M)",2000,FALSE
"131","Haiti faces new and uncertain era as American troops prepare to leave five years after restoring constitutional rule; US forces, which not only provided security but also carried out work that brought tangible relief to Haitians, will leave behind nation still trying to create democratic, functioning state amid overwhelming odds; crime and crumbling infrastructure continue to bedevil residents; army has disbanded but not disarmed, contributing to increase in crime; new police force has struggled to enforce law, but has been hampered by dysfunctional judiciary; government has been paralyzed since 1997 as Pres Rene Preval fights with opposition in Parliament over choice of prime minister; has failed to pass either budget or laws that would have brought $500 million in international aid to shore up crumbling infrastructure and reduce suffering; unemployment hovers at 60 percent and foreign aid is trickle; legislative elections have been pushed back from December 1999 to March 2000, prompting fears of campaign fraud or violence; international observers and diplomats accuse followers of former Pres Jean-Bertrand Aristide, who remains leading political figure and is expected to run again in 2000, of trying to wrest control of civilian police to use for political advantage; as country continues transition to democracy other nations say they are willing to help, but that Haitian people must take initiative; photos (M)",1999,FALSE
"132","New York City Police officials say that plan to assign more officers full time to protect livery-cab drivers from violence will be shared with those drivers; effort to protect drivers is response to recent string of driver homicides throughout city (M)",2000,FALSE
"135","Bulletin Board column discusses college and school events (M)",2000,FALSE
"136","Prosecutors charge dozens of people with using stock manipulation, fraud and violence to steal from thousands of investors across the country in scheme that federal authorities are calling one of organized crime's most aggressive forays into stock market, charges filed in Federal District Court,. Manhattan; at center of investigation is Manhattan investment firm, DMN Capital Investments, which prosecutors say was infiltrated by mob associates and eventually became creature of their attempts to defraud investors; Federal agents say defendants used range of schemes to defraud investors, including running high-pressure boiler-room sales operations, bribing brokers and creating false stock trades; estimate fraud cost investors about $50 million; prosecutors also charge that defendants involved with DMN bribed union officials to allow them to use large union funds for scheme; charge that treasurer of Detectives Endowment Association, Stephen E Gardell, who recently retired, agreed to accept kickbacks in exchange for his participation; indictment also charges that defendants conspired to divert money from another union pension fund, Husic Capital Management, San Francisco (M)",2000,FALSE
"137","New York Times poll in aftermath of shooting death of Amadou Diallo finds that fewer than quarter of all New Yorkers believe that police treat blacks and whites evenly, with blacks in particular viewing police with fear and distrust; nearly 9 out of 10 black residents questioned in survey think that police often engage in brutality against blacks, and almost two-thirds say police brutality against minorities is widespread; over two-thirds of blacks say Giuliani administration policies have caused increase in police brutality; survey suggests that police matters and race relations--along with growing dislike for assertive style of Mayor Rudolph W Giuliani--have combined to give him lowest job-approval rating of his five-year tenure, 42 percent, reflecting sudden, precipitous drop in his popularity (M)",1999,FALSE
